"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-01","0.24","0.0","0.0",,"48","33","  239"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-02","0.00","0.0","0.0",,"44","30","  560"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-03","0.00","0.0","0.0",,"53","35","  519"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-04","0.01","0.0","0.0",,"51","40","   20"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-05","0.00","0.0","0.0",,"49","38","  543"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-06","0.00","0.0","0.0",,"45","34","  276"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-07","0.00","0.0","0.0",,"45","29","  496"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-08","0.98","1.0","0.0",,"42","33","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-09","0.00","0.0","1.0",,"47","34","  567"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-10","0.03","0.0","0.0",,"47","41","  138"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-11","0.00","0.0","0.0",,"44","38","   70"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-12","0.00","0.0","0.0",,"41","30","  150"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-13","0.00","0.0","0.0",,"33","24","  534"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-14","0.00","0.0","0.0",,"36","25","  399"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-15","0.13","0.0","0.0",,"41","32","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-16","0.00","0.0","0.0",,"55","39","  562"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-17","0.00","0.0","0.0",,"63","46","  573"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-18","0.00","0.0","0.0",,"66","44","  323"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-19","0.00","0.0","0.0",,"45","31","  495"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-20","0.55","0.8","0.0",,"36","31","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-21","0.35","0.0","0.0",,"37","34","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-22","0.06","0.0","0.0",,"47","34","   65"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-23","0.00","0.0","0.0",,"45","37","  451"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-24","0.00","0.0","0.0",,"56","42","  120"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-25","1.11","0.0","0.0",,"56","45","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-26","0.31","0.0","0.0",,"59","37","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-27","0.00","0.0","0.0",,"45","31","  596"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-28","0.00","0.0","0.0",,"58","38","  220"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-29","1.03","0.0","0.0",,"43","36","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-30","0.54","0.0","0.0",,"46","37","  497"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-01-31","0.00","0.0","0.0",,"51","32","  605"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-01","0.00","0.0","0.0",,"53","37","  420"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-02","0.09","0.0","0.0",,"53","39","   20"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-03","0.08","0.0","0.0",,"39","31","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-04","0.33","0.0","0.0",,"40","33","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-05","0.00","0.0","0.0",,"37","23","  573"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-06","0.00","0.0","0.0",,"54","32","  615"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-07","0.00","0.0","0.0",,"53","41","  288"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-08","0.00","0.0","0.0",,"58","37","  623"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-09","0.00","0.0","0.0",,"63","45","  426"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-10","0.83","0.0","0.0",,"61","35","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-11","0.00","0.0","0.0",,"48","32","  591"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-12","0.00","0.0","0.0",,"46","32","  502"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-13","0.00","0.0","0.0",,"51","31","  479"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-14","0.01","0.0","0.0",,"58","42","  280"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-15","0.15","0.0","0.0",,"42","34","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-16","0.04","0.0","0.0",,"55","36","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-17","0.00","0.0","0.0",,"58","23","  620"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-18","0.00","0.0","0.0",,"38","19","  648"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-19","0.00","0.0","0.0",,"56","33","  410"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-20","0.00","0.0","0.0",,"35","26","  651"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-21","0.00","0.0","0.0",,"49","24","  656"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-22","0.20","0.0","0.0",,"63","36","   99"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-23","0.22","0.0","0.0",,"65","50","   20"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-24","0.17","0.0","0.0",,"50","30","   60"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-25","0.21","1.8","2.0",,"33","10","  145"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-26","0.00","0.0","2.0",,"25","7","  669"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-27","0.00","0.0","1.0",,"35","22","  236"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-02-28","0.00","0.0","0.0",,"39","27","  674"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-01","0.00","0.0","0.0",,"42","23","  676"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-02","0.00","0.0","0.0",,"54","32","  400"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-03","0.00","0.0","0.0",,"53","39","  533"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-04","0.00","0.0","0.0",,"40","23","  684"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-05","0.00","0.0","0.0",,"38","25","  390"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-06","0.44","3.1","1.0",,"33","22","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-07","0.00","0.0","3.0",,"35","13","  693"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-08","0.00","0.0","1.0",,"46","25","  695"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-09","0.00","0.0","0.0",,"48","33","  207"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-10","0.00","0.0","0.0",,"53","42","   98"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-11","0.05","0.0","0.0",,"67","45","  274"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-12","0.00","0.0","0.0",,"60","45","  498"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-13","0.00","0.0","0.0",,"85","43","  673"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-14","0.00","0.0","0.0",,"68","43","  630"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-15","0.00","0.0","0.0",,"77","42","  588"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-16","0.00","0.0","0.0",,"82","55","  660"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-17","0.67","0.0","0.0",,"72","53","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-18","0.48","0.0","0.0",,"60","48","  386"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-19","0.01","0.0","0.0",,"56","42","  380"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-20","1.05","0.0","0.0",,"51","39","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-21","0.02","0.0","0.0",,"54","37","  634"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-22","0.00","0.0","0.0",,"58","42","  711"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-23","0.00","0.0","0.0",,"69","36","  691"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-24","0.00","0.0","0.0",,"39","33","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-25","0.00","0.0","0.0",,"49","34","  556"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-26","0.00","0.0","0.0",,"56","33","  724"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-27","0.00","0.0","0.0",,"43","26","  747"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-28","0.00","0.0","0.0",,"53","30","  749"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-29","0.02","0.0","0.0",,"50","37","  658"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-30","0.86","0.0","0.0",,"41","36","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-03-31","0.04","0.0","0.0",,"49","37","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-01","0.00","0.0","0.0",,"47","42","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-02","0.00","0.0","0.0",,"50","44","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-03","1.42","0.0","0.0",,"46","41","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-04","0.00","0.0","0.0",,"47","41","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-05","0.00","0.0","0.0",,"58","42","  594"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-06","0.08","0.0","0.0",,"52","40","   15"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-07","0.25","0.6","1.0",,"51","33","  344"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-08","0.00","0.0","0.0",,"50","34","  584"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-09","0.00","0.0","0.0",,"62","40","  782"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-10","0.14","0.0","0.0",,"70","48","  400"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-11","0.31","0.0","0.0",,"63","40","  510"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-12","0.00","0.0","0.0",,"54","38","  556"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-13","0.00","0.0","0.0",,"53","33","  792"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-14","0.15","0.0","0.0",,"54","40","  661"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-15","1.47","0.0","0.0",,"66","47","  375"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-16","0.00","0.0","0.0",,"69","49","  800"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-17","0.20","0.0","0.0",,"65","40","   61"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-18","0.00","0.0","0.0",,"54","36","  800"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-19","0.00","0.0","0.0",,"63","41","  807"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-20","0.02","0.0","0.0",,"67","45","  561"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-21","0.23","0.0","0.0",,"61","53","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-22","0.00","0.0","0.0",,"73","49","  783"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-23","0.00","0.0","0.0",,"81","56","  798"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-24","0.00","0.0","0.0",,"65","50","  795"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-25","0.15","0.0","0.0",,"65","48","  256"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-26","0.00","0.0","0.0",,"74","50","  769"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-27","0.00","0.0","0.0",,"91","51","  828"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-28","0.00","0.0","0.0",,"90","69","  830"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-29","0.40","0.0","0.0",,"73","49","  145"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-04-30","0.30","0.0","0.0",,"56","50","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-05-01","0.00","0.0","0.0",,"83","54","  540"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-05-02","0.00","0.0","0.0",,"68","54","  676"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-05-03","0.00","0.0","0.0",,"72","48","  682"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-05-04","0.23","0.0","0.0",,"61","49","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-05-05","0.55","0.0","0.0",,"69","49","  135"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-05-06","0.09","0.0","0.0",,"68","45","  702"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-05-07","0.00","0.0","0.0",,"70","50","  635"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-05-08","0.00","0.0","0.0",,"72","50","  847"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-05-09","0.00","0.0","0.0",,"82","53","  625"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-05-10","1.67","0.0","0.0",,"68","56","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-05-11","0.00","0.0","0.0",,"59","49","  859"
